rep,duration_outside,treatment,n_circles,creativity_score
1,2,before,8,3
1,2,after,10,4
2,3,before,5,3
2,3,after,8,5
3,15,before,8,4
3,15,after,10,5
4,3,before,6,3
4,3,after,7,4
5,2.5,before,3,3
5,2.5,after,8,4
6,4,before,10,4
6,4,after,20,5
7,7,before,4,3
7,7,after,9,3
8,8,before,11,4
8,8,after,14,4
9,5,before,16,3
9,5,after,18,4
10,4.5,before,5,3
10,4.5,after,8,3
11,6,before,10,4
11,6,after,11,4
12,6,before,8,3
12,6,after,16,4
13,2,before,12,3
13,2,after,16,4
14,5,before,7,3
14,5,after,13,3
15,4,before,16,2
15,4,after,24,2
16,10,before,11,3
16,10,after,17,3
17,5,before,14,3
18,5,after,22,3
19,10,before,11,3
19,10,after,16,3
20,2,before,4,3
20,2,after,6,4